Concelho,Tipo de Instalação,Nível de Tensão,Ano,Mês,CPEs (#)
Abrantes,Doméstico,Baixa Tensão Especial,2022,3,1
Abrantes,Doméstico,Baixa Tensão Especial,2022,4,1
Abrantes,Doméstico,Baixa Tensão Especial,2022,5,1
Abrantes,Doméstico,Baixa Tensão Especial,2022,6,1
Abrantes,Doméstico,Baixa Tensão Especial,2022,7,1
Abrantes,Doméstico,Baixa Tensão Especial,2022,8,1
Abrantes,Doméstico,Baixa Tensão Especial,2022,9,1
Abrantes,Doméstico,Baixa Tensão Especial,2022,10,1
Abrantes,Doméstico,Baixa Tensão Especial,2022,11,1
Abrantes,Doméstico,Baixa Tensão Especial,2022,12,1
Abrantes,Doméstico,Baixa Tensão Especial,2023,1,1
Abrantes,Doméstico,Baixa Tensão Especial,2023,2,1
Abrantes,Doméstico,Baixa Tensão Especial,2023,3,1
Abrantes,Doméstico,Baixa Tensão Especial,2023,4,1
Abrantes,Doméstico,Baixa Tensão Especial,2023,5,1
Abrantes,Doméstico,Baixa Tensão Especial,2023,6,1
Abrantes,Doméstico,Baixa Tensão Especial,2023,7,1
Abrantes,Doméstico,Baixa Tensão Especial,2023,8,1
Abrantes,Doméstico,Baixa Tensão Especial,2023,9,1
Abrantes,Doméstico,Baixa Tensão Especial,2023,10,1
Abrantes,Doméstico,Baixa Tensão Especial,2023,11,1
Abrantes,Doméstico,Baixa Tensão Especial,2023,12,1
Abrantes,Doméstico,Baixa Tensão Especial,2024,1,1
Abrantes,Doméstico,Baixa Tensão Especial,2024,2,1
Abrantes,Doméstico,Baixa Tensão Especial,2024,3,1
Abrantes,Doméstico,Baixa Tensão Normal,2022,3,20282
Abrantes,Doméstico,Baixa Tensão Normal,2022,4,20266
Abrantes,Doméstico,Baixa Tensão Normal,2022,5,20253
Abrantes,Doméstico,Baixa Tensão Normal,2022,6,20258
Abrantes,Doméstico,Baixa Tensão Normal,2022,7,20249
Abrantes,Doméstico,Baixa Tensão Normal,2022,8,20259
Abrantes,Doméstico,Baixa Tensão Normal,2022,9,20269
Abrantes,Doméstico,Baixa Tensão Normal,2022,10,20279
Abrantes,Doméstico,Baixa Tensão Normal,2022,11,20290
Abrantes,Doméstico,Baixa Tensão Normal,2022,12,20296
Abrantes,Doméstico,Baixa Tensão Normal,2023,1,20297
Abrantes,Doméstico,Baixa Tensão Normal,2023,2,20287
Abrantes,Doméstico,Baixa Tensão Normal,2023,3,20279
Abrantes,Doméstico,Baixa Tensão Normal,2023,4,20279
Abrantes,Doméstico,Baixa Tensão Normal,2023,5,20279
Abrantes,Doméstico,Baixa Tensão Normal,2023,6,20328
Abrantes,Doméstico,Baixa Tensão Normal,2023,7,20343
Abrantes,Doméstico,Baixa Tensão Normal,2023,8,20343
Abrantes,Doméstico,Baixa Tensão Normal,2023,9,20343
Abrantes,Doméstico,Baixa Tensão Normal,2023,10,20371
Abrantes,Doméstico,Baixa Tensão Normal,2023,11,20381
Abrantes,Doméstico,Baixa Tensão Normal,2023,12,20378
Abrantes,Doméstico,Baixa Tensão Normal,2024,1,20371
Abrantes,Doméstico,Baixa Tensão Normal,2024,2,20352
Abrantes,Doméstico,Baixa Tensão Normal,2024,3,20340
Abrantes,Iluminação Pública,Baixa Tensão Normal,2022,3,293
Abrantes,Iluminação Pública,Baixa Tensão Normal,2022,4,293
Abrantes,Iluminação Pública,Baixa Tensão Normal,2022,5,293
Abrantes,Iluminação Pública,Baixa Tensão Normal,2022,6,293
Abrantes,Iluminação Pública,Baixa Tensão Normal,2022,7,293
Abrantes,Iluminação Pública,Baixa Tensão Normal,2022,8,293
Abrantes,Iluminação Pública,Baixa Tensão Normal,2022,9,293
Abrantes,Iluminação Pública,Baixa Tensão Normal,2022,10,293
Abrantes,Iluminação Pública,Baixa Tensão Normal,2022,11,293
Abrantes,Iluminação Pública,Baixa Tensão Normal,2022,12,294
Abrantes,Iluminação Pública,Baixa Tensão Normal,2023,1,294
Abrantes,Iluminação Pública,Baixa Tensão Normal,2023,2,294
Abrantes,Iluminação Pública,Baixa Tensão Normal,2023,3,294
Abrantes,Iluminação Pública,Baixa Tensão Normal,2023,4,294
Abrantes,Iluminação Pública,Baixa Tensão Normal,2023,5,294
Abrantes,Iluminação Pública,Baixa Tensão Normal,2023,6,295
Abrantes,Iluminação Pública,Baixa Tensão Normal,2023,7,295
Abrantes,Iluminação Pública,Baixa Tensão Normal,2023,8,296
Abrantes,Iluminação Pública,Baixa Tensão Normal,2023,9,296
Abrantes,Iluminação Pública,Baixa Tensão Normal,2023,10,296
Abrantes,Iluminação Pública,Baixa Tensão Normal,2023,11,296
Abrantes,Iluminação Pública,Baixa Tensão Normal,2023,12,296
Abrantes,Iluminação Pública,Baixa Tensão Normal,2024,1,296
Abrantes,Iluminação Pública,Baixa Tensão Normal,2024,2,296
Abrantes,Iluminação Pública,Baixa Tensão Normal,2024,3,296
Abrantes,Não Doméstico,Baixa Tensão Especial,2022,3,90
Abrantes,Não Doméstico,Baixa Tensão Especial,2022,4,92
Abrantes,Não Doméstico,Baixa Tensão Especial,2022,5,92
Abrantes,Não Doméstico,Baixa Tensão Especial,2022,6,92
Abrantes,Não Doméstico,Baixa Tensão Especial,2022,7,92
Abrantes,Não Doméstico,Baixa Tensão Especial,2022,8,94
Abrantes,Não Doméstico,Baixa Tensão Especial,2022,9,94
Abrantes,Não Doméstico,Baixa Tensão Especial,2022,10,94
Abrantes,Não Doméstico,Baixa Tensão Especial,2022,11,94
Abrantes,Não Doméstico,Baixa Tensão Especial,2022,12,93
Abrantes,Não Doméstico,Baixa Tensão Especial,2023,1,94
Abrantes,Não Doméstico,Baixa Tensão Especial,2023,2,96
Abrantes,Não Doméstico,Baixa Tensão Especial,2023,3,96
Abrantes,Não Doméstico,Baixa Tensão Especial,2023,4,96
Abrantes,Não Doméstico,Baixa Tensão Especial,2023,5,96
Abrantes,Não Doméstico,Baixa Tensão Especial,2023,6,99
Abrantes,Não Doméstico,Baixa Tensão Especial,2023,7,99
Abrantes,Não Doméstico,Baixa Tensão Especial,2023,8,99
Abrantes,Não Doméstico,Baixa Tensão Especial,2023,9,100
Abrantes,Não Doméstico,Baixa Tensão Especial,2023,10,100
Abrantes,Não Doméstico,Baixa Tensão Especial,2023,11,100
Abrantes,Não Doméstico,Baixa Tensão Especial,2023,12,101
Abrantes,Não Doméstico,Baixa Tensão Especial,2024,1,100
Abrantes,Não Doméstico,Baixa Tensão Especial,2024,2,101
Abrantes,Não Doméstico,Baixa Tensão Especial,2024,3,101
Abrantes,Não Doméstico,Baixa Tensão Normal,2022,3,4244
Abrantes,Não Doméstico,Baixa Tensão Normal,2022,4,4245
Abrantes,Não Doméstico,Baixa Tensão Normal,2022,5,4232
Abrantes,Não Doméstico,Baixa Tensão Normal,2022,6,4235
Abrantes,Não Doméstico,Baixa Tensão Normal,2022,7,4228
Abrantes,Não Doméstico,Baixa Tensão Normal,2022,8,4224
Abrantes,Não Doméstico,Baixa Tensão Normal,2022,9,4217
Abrantes,Não Doméstico,Baixa Tensão Normal,2022,10,4208
Abrantes,Não Doméstico,Baixa Tensão Normal,2022,11,4214
Abrantes,Não Doméstico,Baixa Tensão Normal,2022,12,4219
Abrantes,Não Doméstico,Baixa Tensão Normal,2023,1,4215
Abrantes,Não Doméstico,Baixa Tensão Normal,2023,2,4214
Abrantes,Não Doméstico,Baixa Tensão Normal,2023,3,4220
Abrantes,Não Doméstico,Baixa Tensão Normal,2023,4,4220
Abrantes,Não Doméstico,Baixa Tensão Normal,2023,5,4220
Abrantes,Não Doméstico,Baixa Tensão Normal,2023,6,4247
Abrantes,Não Doméstico,Baixa Tensão Normal,2023,7,4242
Abrantes,Não Doméstico,Baixa Tensão Normal,2023,8,4239
Abrantes,Não Doméstico,Baixa Tensão Normal,2023,9,4244
Abrantes,Não Doméstico,Baixa Tensão Normal,2023,10,4251
Abrantes,Não Doméstico,Baixa Tensão Normal,2023,11,4248
Abrantes,Não Doméstico,Baixa Tensão Normal,2023,12,4253
Abrantes,Não Doméstico,Baixa Tensão Normal,2024,1,4250
Abrantes,Não Doméstico,Baixa Tensão Normal,2024,2,4248
Abrantes,Não Doméstico,Baixa Tensão Normal,2024,3,4252
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,3,133
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,4,133
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,5,133
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,6,134
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,7,134
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,8,134
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,9,134
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,10,134
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,11,134
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,12,134
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,1,132
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,2,132
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,3,132
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,4,132
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,5,132
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,6,133
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,7,133
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,8,132
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,9,132
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,10,131
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,11,131
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,12,130
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2024,1,129
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2024,2,128
Abrantes,Não Doméstico,"Muito Alta, Alta e Média Tensões",2024,3,128
Abrantes,Outros,Baixa Tensão Especial,2022,7,1
Abrantes,Outros,Baixa Tensão Especial,2022,8,2
Abrantes,Outros,Baixa Tensão Especial,2022,9,1
Abrantes,Outros,Baixa Tensão Especial,2022,10,1
Abrantes,Outros,Baixa Tensão Especial,2022,11,1
Abrantes,Outros,Baixa Tensão Especial,2022,12,2
Abrantes,Outros,Baixa Tensão Especial,2023,1,2
Abrantes,Outros,Baixa Tensão Especial,2023,2,4
Abrantes,Outros,Baixa Tensão Especial,2023,3,1
Abrantes,Outros,Baixa Tensão Especial,2023,4,1
Abrantes,Outros,Baixa Tensão Especial,2023,5,1
Abrantes,Outros,Baixa Tensão Especial,2023,6,1
Abrantes,Outros,Baixa Tensão Especial,2023,7,2
Abrantes,Outros,Baixa Tensão Especial,2023,8,1
Abrantes,Outros,Baixa Tensão Especial,2023,9,1
Abrantes,Outros,Baixa Tensão Especial,2024,2,1
Abrantes,Outros,Baixa Tensão Normal,2022,3,83
Abrantes,Outros,Baixa Tensão Normal,2022,4,83
Abrantes,Outros,Baixa Tensão Normal,2022,5,82
Abrantes,Outros,Baixa Tensão Normal,2022,6,82
Abrantes,Outros,Baixa Tensão Normal,2022,7,82
Abrantes,Outros,Baixa Tensão Normal,2022,8,81
Abrantes,Outros,Baixa Tensão Normal,2022,9,80
Abrantes,Outros,Baixa Tensão Normal,2022,10,80
Abrantes,Outros,Baixa Tensão Normal,2022,11,79
Abrantes,Outros,Baixa Tensão Normal,2022,12,80
Abrantes,Outros,Baixa Tensão Normal,2023,1,80
Abrantes,Outros,Baixa Tensão Normal,2023,2,109
Abrantes,Outros,Baixa Tensão Normal,2023,3,74
Abrantes,Outros,Baixa Tensão Normal,2023,4,74
Abrantes,Outros,Baixa Tensão Normal,2023,5,74
Abrantes,Outros,Baixa Tensão Normal,2023,6,76
Abrantes,Outros,Baixa Tensão Normal,2023,7,71
Abrantes,Outros,Baixa Tensão Normal,2023,8,71
Abrantes,Outros,Baixa Tensão Normal,2023,9,69
Abrantes,Outros,Baixa Tensão Normal,2023,10,69
Abrantes,Outros,Baixa Tensão Normal,2023,11,69
Abrantes,Outros,Baixa Tensão Normal,2023,12,68
Abrantes,Outros,Baixa Tensão Normal,2024,1,68
Abrantes,Outros,Baixa Tensão Normal,2024,2,97
Abrantes,Outros,Baixa Tensão Normal,2024,3,67
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2022,3,3799
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2022,4,3791
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2022,5,3785
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2022,6,3779
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2022,7,3781
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2022,8,3782
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2022,9,3784
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2022,10,3784
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2022,11,3779
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2022,12,3782
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2023,1,3788
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2023,2,3793
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2023,3,3794
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2023,4,3794
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2023,5,3794
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2023,6,3802
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2023,7,3806
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2023,8,3813
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2023,9,3811
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2023,10,3811
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2023,11,3806
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2023,12,3807
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2024,1,3805
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2024,2,3810
Aguiar da Beira,Doméstico,Baixa Tensão Normal,2024,3,3815
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2022,3,91
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2022,4,91
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2022,5,91
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2022,6,91
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2022,7,92
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2022,8,92
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2022,9,92
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2022,10,92
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2022,11,92
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2022,12,93
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2023,1,95
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2023,2,95
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2023,3,95
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2023,4,95
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2023,5,95
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2023,6,95
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2023,7,95
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2023,8,95
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2023,9,95
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2023,10,95
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2023,11,95
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2023,12,96
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2024,1,96
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2024,2,96
Aguiar da Beira,Iluminação Pública,Baixa Tensão Normal,2024,3,96
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2022,3,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2022,4,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2022,5,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2022,6,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2022,7,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2022,8,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2022,9,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2022,10,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2022,11,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2022,12,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2023,1,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2023,2,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2023,3,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2023,4,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2023,5,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2023,6,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2023,7,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2023,8,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2023,9,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2023,10,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2023,11,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2023,12,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2024,1,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2024,2,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Especial,2024,3,15
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2022,3,978
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2022,4,978
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2022,5,981
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2022,6,984
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2022,7,984
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2022,8,985
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2022,9,984
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2022,10,983
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2022,11,984
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2022,12,986
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2023,1,983
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2023,2,981
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2023,3,982
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2023,4,982
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2023,5,982
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2023,6,992
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2023,7,991
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2023,8,990
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2023,9,986
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2023,10,987
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2023,11,986
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2023,12,983
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2024,1,981
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2024,2,983
Aguiar da Beira,Não Doméstico,Baixa Tensão Normal,2024,3,988
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,3,15
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,4,15
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,5,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,6,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,7,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,8,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,9,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,10,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,11,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2022,12,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,1,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,2,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,3,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,4,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,5,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,6,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,7,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,8,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,9,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,10,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,11,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2023,12,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2024,1,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2024,2,16
Aguiar da Beira,Não Doméstico,"Muito Alta, Alta e Média Tensões",2024,3,16
Aguiar da Beira,Outros,Baixa Tensão Especial,2022,3,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2022,4,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2022,5,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2022,6,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2022,7,3
Aguiar da Beira,Outros,Baixa Tensão Especial,2022,8,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2022,9,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2022,10,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2022,11,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2022,12,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2023,1,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2023,2,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2023,3,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2023,4,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2023,5,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2023,6,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2023,7,3
Aguiar da Beira,Outros,Baixa Tensão Especial,2023,8,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2023,9,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2023,10,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2023,11,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2023,12,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2024,1,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2024,2,1
Aguiar da Beira,Outros,Baixa Tensão Especial,2024,3,1
Aguiar da Beira,Outros,Baixa Tensão Normal,2022,3,19
Aguiar da Beira,Outros,Baixa Tensão Normal,2022,4,20
Aguiar da Beira,Outros,Baixa Tensão Normal,2022,5,20
Aguiar da Beira,Outros,Baixa Tensão Normal,2022,6,18
Aguiar da Beira,Outros,Baixa Tensão Normal,2022,7,15
Aguiar da Beira,Outros,Baixa Tensão Normal,2022,8,13
Aguiar da Beira,Outros,Baixa Tensão Normal,2022,9,15
Aguiar da Beira,Outros,Baixa Tensão Normal,2022,10,15
Aguiar da Beira,Outros,Baixa Tensão Normal,2022,11,15
Aguiar da Beira,Outros,Baixa Tensão Normal,2022,12,15
Aguiar da Beira,Outros,Baixa Tensão Normal,2023,1,14
Aguiar da Beira,Outros,Baixa Tensão Normal,2023,2,14
Aguiar da Beira,Outros,Baixa Tensão Normal,2023,3,13
Aguiar da Beira,Outros,Baixa Tensão Normal,2023,4,13
Aguiar da Beira,Outros,Baixa Tensão Normal,2023,5,13
Aguiar da Beira,Outros,Baixa Tensão Normal,2023,6,12
Aguiar da Beira,Outros,Baixa Tensão Normal,2023,7,11
Aguiar da Beira,Outros,Baixa Tensão Normal,2023,8,10
Aguiar da Beira,Outros,Baixa Tensão Normal,2023,9,9
Aguiar da Beira,Outros,Baixa Tensão Normal,2023,10,10
Aguiar da Beira,Outros,Baixa Tensão Normal,2023,11,14
Aguiar da Beira,Outros,Baixa Tensão Normal,2023,12,13
Aguiar da Beira,Outros,Baixa Tensão Normal,2024,1,8
Aguiar da Beira,Outros,Baixa Tensão Normal,2024,2,8
Aguiar da Beira,Outros,Baixa Tensão Normal,2024,3,8
Alandroal,Doméstico,Baixa Tensão Especial,2022,3,1
Alandroal,Doméstico,Baixa Tensão Especial,2022,4,1
Alandroal,Doméstico,Baixa Tensão Especial,2022,5,1
Alandroal,Doméstico,Baixa Tensão Especial,2022,6,1
Alandroal,Doméstico,Baixa Tensão Especial,2022,7,1
Alandroal,Doméstico,Baixa Tensão Especial,2022,8,1
Alandroal,Doméstico,Baixa Tensão Especial,2022,9,1
Alandroal,Doméstico,Baixa Tensão Especial,2022,10,1
Alandroal,Doméstico,Baixa Tensão Especial,2022,11,1
Alandroal,Doméstico,Baixa Tensão Especial,2022,12,1
Alandroal,Doméstico,Baixa Tensão Especial,2023,1,1
Alandroal,Doméstico,Baixa Tensão Especial,2023,2,1
Alandroal,Doméstico,Baixa Tensão Especial,2023,3,1
Alandroal,Doméstico,Baixa Tensão Especial,2023,4,1
Alandroal,Doméstico,Baixa Tensão Especial,2023,5,1
Alandroal,Doméstico,Baixa Tensão Especial,2023,6,1
Alandroal,Doméstico,Baixa Tensão Especial,2023,7,1
Alandroal,Doméstico,Baixa Tensão Especial,2023,8,1
Alandroal,Doméstico,Baixa Tensão Especial,2023,9,1
Alandroal,Doméstico,Baixa Tensão Especial,2023,10,1
Alandroal,Doméstico,Baixa Tensão Especial,2023,11,1
Alandroal,Doméstico,Baixa Tensão Especial,2023,12,1
Alandroal,Doméstico,Baixa Tensão Especial,2024,1,1
Alandroal,Doméstico,Baixa Tensão Especial,2024,2,1
Alandroal,Doméstico,Baixa Tensão Especial,2024,3,1
Alandroal,Doméstico,Baixa Tensão Normal,2022,3,3275
Alandroal,Doméstico,Baixa Tensão Normal,2022,4,3274
Alandroal,Doméstico,Baixa Tensão Normal,2022,5,3271
Alandroal,Doméstico,Baixa Tensão Normal,2022,6,3276
Alandroal,Doméstico,Baixa Tensão Normal,2022,7,3284
Alandroal,Doméstico,Baixa Tensão Normal,2022,8,3293
Alandroal,Doméstico,Baixa Tensão Normal,2022,9,3291
Alandroal,Doméstico,Baixa Tensão Normal,2022,10,3287
Alandroal,Doméstico,Baixa Tensão Normal,2022,11,3286
Alandroal,Doméstico,Baixa Tensão Normal,2022,12,3278
Alandroal,Doméstico,Baixa Tensão Normal,2023,1,3284
Alandroal,Doméstico,Baixa Tensão Normal,2023,2,3290
Alandroal,Doméstico,Baixa Tensão Normal,2023,3,3290
