ano,mês,energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
2022,10,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2022,11,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2022,12,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2023,1,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2023,2,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2023,3,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2023,4,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2023,5,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2023,6,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2023,7,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2023,8,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2023,9,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2023,10,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2023,11,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2023,12,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2022,8,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,1144.00 - 8292.53,0.00 - 3.87
2022,9,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,1144.00 - 8292.53,0.00 - 3.87
2022,10,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,1144.00 - 8292.53,0.00 - 3.87
2022,11,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,1144.00 - 8292.53,0.00 - 3.87
2022,12,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,1144.00 - 8292.53,3.87 - 12.51
2023,1,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,1144.00 - 8292.53,3.87 - 12.51
2023,2,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,1144.00 - 8292.53,3.87 - 12.51
2023,3,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2023,4,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2023,5,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2023,6,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2023,7,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2023,8,2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
