energia_ativa_baixa_tensao_kwh,energia_ativa_alta_tensao_kwh,cpes_domestico_baixa_tensao,cpes_domestico_alta_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_baixa_tensao,cpes_outros_alta_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,0.00 - 3353532.66,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,0.00 - 3353532.66,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,3353532.66 - 9317038.68,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,3353532.66 - 9317038.68,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,0.00 - 3353532.66,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,3353532.66 - 9317038.68,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,0.00 - 3353532.66,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,3353532.66 - 9317038.68,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,0.00 - 3353532.66,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,3353532.66 - 9317038.68,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,0.00 - 3353532.66,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,12.51 - 28.31
2983911.75 - 6866211.91,3353532.66 - 9317038.68,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,12.51 - 28.31
2983911.75 - 6866211.91,0.00 - 3353532.66,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,12.51 - 28.31
2983911.75 - 6866211.91,0.00 - 3353532.66,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,12.51 - 28.31
2983911.75 - 6866211.91,0.00 - 3353532.66,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,12.51 - 28.31
2983911.75 - 6866211.91,0.00 - 3353532.66,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,12.51 - 28.31
2983911.75 - 6866211.91,0.00 - 3353532.66,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,12.51 - 28.31
139066.00 - 2983911.75,0.00 - 3353532.66,8752.42 - 14844.51,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,12.51 - 28.31
139066.00 - 2983911.75,3353532.66 - 9317038.68,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3353532.66 - 9317038.68,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,9317038.68 - 18336169.09,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,38.21 - 83.89,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,0.00 - 3353532.66,14844.51 - 22924.60,0.00 - 0.54,355.01 - 407.69,3135.72 - 5235.35,81.89 - 111.81,83.89 - 148.16,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
2983911.75 - 6866211.91,0.00 - 3353532.66,14844.51 - 22924.60,0.00 - 0.54,355.01 - 407.69,3135.72 - 5235.35,81.89 - 111.81,83.89 - 148.16,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
2983911.75 - 6866211.91,0.00 - 3353532.66,14844.51 - 22924.60,0.00 - 0.54,355.01 - 407.69,3135.72 - 5235.35,81.89 - 111.81,83.89 - 148.16,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
2983911.75 - 6866211.91,0.00 - 3353532.66,14844.51 - 22924.60,0.00 - 0.54,355.01 - 407.69,3135.72 - 5235.35,81.89 - 111.81,83.89 - 148.16,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
