energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,100.27 - 147.04,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,29385.43 - 46318.89,12.51 - 28.31
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,218.69 - 308.75,29385.43 - 46318.89,12.51 - 28.31
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,218.69 - 308.75,29385.43 - 46318.89,12.51 - 28.31
6866211.91 - 12252934.51,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,29385.43 - 46318.89,12.51 - 28.31
6866211.91 - 12252934.51,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,308.75 - 408.61,29385.43 - 46318.89,12.51 - 28.31
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,12.51 - 28.31
2983911.75 - 6866211.91,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,12.51 - 28.31
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,22924.60 - 32321.75,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,218.69 - 308.75,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,218.69 - 308.75,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,218.69 - 308.75,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,12.51 - 28.31
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,218.69 - 308.75,8292.53 - 16488.92,0.00 - 3.87
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,218.69 - 308.75,8292.53 - 16488.92,0.00 - 3.87
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,218.69 - 308.75,8292.53 - 16488.92,0.00 - 3.87
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,218.69 - 308.75,8292.53 - 16488.92,0.00 - 3.87
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,218.69 - 308.75,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,218.69 - 308.75,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,218.69 - 308.75,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,218.69 - 308.75,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,218.69 - 308.75,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,218.69 - 308.75,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,218.69 - 308.75,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,299.03 - 355.01,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
